iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ITA,Europe,Italy,2022-02-03,11348701.0,112956.0,115585.714,147734.0,414.0,367.857,187993.646,1871.14,1914.702,2447.245,6.858,6.094,0.9,1457.0,24.136,20781.0,344.242,757.0,12.54,9105.0,150.826,915337.0,173758572.0,2878.348,15.163,924872.0,15.321,0.125,8.0,tests performed,129525273.0,50301080.0,46301014.0,34428364.0,348759.0,426538.0,214.56,83.32,76.7,57.03,7066.0,36714.0,0.061,76.85,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
JAM,North America,Jamaica,2022-02-03,125250.0,283.0,398.143,2677.0,2.0,8.571,42122.617,95.175,133.899,900.297,0.673,2.883,0.8,,,,,,,,,2106.0,802621.0,269.928,0.708,2078.0,0.699,0.206,4.8,samples tested,1313305.0,748333.0,625287.0,22209.0,4121.0,2551.0,44.17,25.17,21.03,0.75,858.0,899.0,0.03,74.07,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,,,,
JPN,Asia,Japan,2022-02-03,3019169.0,104345.0,83725.0,19054.0,90.0,58.0,23952.003,827.801,664.216,151.161,0.714,0.46,1.15,1440.0,11.424,22653.0,179.713,,,,,118792.0,31928900.0,253.302,0.942,220210.0,1.747,0.326,3.1,people tested,207319162.0,101375787.0,99849807.0,6093568.0,568034.0,398736.0,164.47,80.42,79.21,4.83,3163.0,4406.0,0.003,47.22,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
JEY,Europe,Jersey,2022-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219845.0,82242.0,78223.0,59380.0,,135.0,217.51,81.37,77.39,58.75,1336.0,19.0,0.019,,101073.0,,,,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2022-02-03,1280106.0,19123.0,13607.143,13271.0,23.0,18.429,124657.051,1862.203,1325.067,1292.333,2.24,1.795,1.51,,,,,,,,,68047.0,14888936.0,1449.888,6.626,50218.0,4.89,0.271,3.7,tests performed,9267426.0,4598992.0,4248768.0,,,15005.0,90.25,44.79,41.37,,1461.0,3857.0,0.038,34.26,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
KAZ,Asia,Kazakhstan,2022-02-03,1347183.0,6773.0,8060.0,18570.0,23.0,20.0,70923.189,356.568,424.323,977.628,1.211,1.053,1.16,,,,,,,,,,,,,,,,,,17998334.0,9213147.0,8785187.0,,19280.0,16478.0,94.75,48.5,46.25,,867.0,8110.0,0.043,76.85,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,,,
KEN,Africa,Kenya,2022-02-03,321764.0,93.0,120.857,5604.0,11.0,5.286,5851.776,1.691,2.198,101.917,0.2,0.096,0.45,,,,,,,,,6137.0,3233831.0,58.812,0.112,4699.0,0.085,0.026,38.9,tests performed,12885157.0,6821372.0,5894445.0,169340.0,232166.0,157289.0,23.43,12.41,10.72,0.31,2861.0,59239.0,0.108,,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
KIR,Oceania,Kiribati,2022-02-03,913.0,146.0,104.571,,,,7521.337,1202.755,861.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,121388.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,,,,
OWID_KOS,Europe,Kosovo,2022-02-03,212671.0,2110.0,2565.857,3032.0,5.0,3.429,119336.294,1183.986,1439.782,1701.349,2.806,1.924,1.82,,,,,,,,,9253.0,1678438.0,941.824,5.192,12376.0,6.945,0.228,4.4,tests performed,1783672.0,894653.0,806268.0,82751.0,2562.0,3411.0,100.09,50.2,45.24,4.64,1914.0,432.0,0.024,42.59,1782115.0,168.155,,,,9795.834,0.6,,,,,,,,,,,,
KWT,Asia,Kuwait,2022-02-03,564735.0,5990.0,6199.143,2503.0,2.0,1.857,130467.387,1383.834,1432.151,578.253,0.462,0.429,1.23,,,,,,,,,33081.0,7018332.0,1621.404,7.643,33127.0,7.653,0.187,5.3,tests performed,7345882.0,3368291.0,3258446.0,,,5646.0,169.71,77.82,75.28,,1304.0,780.0,0.018,,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,,,,
